t,N_A,N_B,N_P
100.0,2.3452125032452136,3.9911475317188603,0.649085427287005
200.0,3.464236780002966,9.735432883394585,0.7616536648509875
300.0,3.2593392656702633,7.715112033489257,0.8464758304055667
400.0,5.179747164817597,6.379130926218299,0.8053536374207273
500.0,7.1176195962346,7.622419983715538,1.244012765566697
600.0,5.597529500506697,6.229712100100875,0.7260259578579615
700.0,4.456383560172896,9.013311713699208,1.0189507425792073
800.0,4.124651308018525,14.103628671073285,1.058404342511964
900.0,4.607885430312097,14.0448890859378,0.762174737842422
1000.0,4.966751972340596,19.609596169760582,0.9625756124516037
1100.0,6.831288570603128,20.072030902834364,0.9260550884716139
1200.0,4.736130225883849,11.944780662722446,1.0352590031280324
1300.0,4.0274859574956965,5.859987948667176,0.7869667974743547
1400.0,3.186770087425232,4.732244028159187,0.923616882767799
1500.0,4.205870059144241,6.7373341878954704,0.7244590993618008
1600.0,3.434461965064885,10.563997715598944,0.8885017042675649
1700.0,4.026656289269807,9.778642785769083,0.9375239145988072
1800.0,5.857726051654214,9.096260649176617,1.1379250002564918
1900.0,6.820306787739419,5.6458725670738605,0.8188077186150053
2000.0,3.3974135061632196,10.237894921927692,0.7318941758473201
2100.0,4.0433198493365206,15.21186104783322,1.013923585779794
2200.0,3.160031619746649,18.231783640679335,0.8158975961867508
2300.0,5.487753321052623,14.17022600500039,1.0700218969682918
2400.0,7.047714094289779,17.206213108066414,0.9737819903382878
2500.0,6.5374377228976,16.04750995448051,0.8545761252357987
2600.0,4.124067254836437,15.250034643273215,0.9129963009664097
2700.0,3.565118590401659,17.65264540650004,0.8214643027889341
2800.0,5.03208793599999,19.256112366121734,0.8140270770182971
2900.0,5.624615130955759,15.23188700759223,0.9858285830973837
3000.0,4.621234958475637,15.156199828904912,0.9760364745954094
3100.0,3.9736445582462396,18.070327995464407,0.9190493918466546
3200.0,4.310941061119716,18.42216511850759,1.0921339963433239
3300.0,4.683950409267086,15.144883412704548,0.7660699187417969
3400.0,4.829266408347239,21.388497025807716,1.027209165414567
3500.0,4.221788037285544,23.701059841861632,0.9296265349609485
3600.0,3.7213958579719333,28.048642944361312,0.8314956201794821
3700.0,3.2505440557157312,22.2490042009071,1.0266286150636805
3800.0,5.1017754990913335,18.630548167468675,0.8746270923755557
3900.0,4.62585663024221,19.564508056021065,0.9907373882869134
4000.0,3.931956995701551,20.712956759291576,0.9219898041355673
4100.0,4.305419749875988,19.70722269324268,1.0509890727716864
4200.0,5.355880562312295,17.522892874614907,0.891374379812298
4300.0,4.924375292489364,21.5552183836904,0.775922079217502
4400.0,6.077881400673787,23.966380339186266,0.9844853053477746
4500.0,4.293541389195379,18.89204276581126,0.9375107626089866
4600.0,4.818041922040377,15.127685669087294,0.8229183493830334
4700.0,3.764405269170642,18.781084969428857,0.9940506736324879
4800.0,4.470259003002445,20.3359027032257,0.7894462001762894
4900.0,3.5885031070499784,21.21114422148821,0.7568667866331125
5000.0,4.219311465733661,18.72730908941266,0.8731955017410691
5100.0,2.8306317912678773,17.348656654164518,0.7145501568545441
5200.0,5.0162371744420176,11.749081435588666,0.9807223182275975
5300.0,3.403274825804592,11.62602579231247,0.9227742057311261
5400.0,4.981079635098842,14.005316944183614,0.8656659518285015
5500.0,5.084454194042377,13.58044144002958,0.8904764558938405
5600.0,3.632109723608592,16.883845223139105,0.7651858311482103
5700.0,6.0806292392145505,23.556366990857683,0.8553846498690472
5800.0,9.669701142857285,19.53919884705693,0.9802199660679127
5900.0,4.727532558512821,16.315454816449282,1.0586139768691156
6000.0,3.987135055902639,10.233198807058638,1.1290409583152594
6100.0,4.343770353916573,14.051575513870498,0.7257637460905407
6200.0,4.5186939110920346,12.042099937344945,0.9189512734267865
6300.0,4.080771330942902,13.500243594256943,0.892785734571673
6400.0,4.08639264016454,17.29448178849655,0.9457667823752617
6500.0,4.2578464268391745,19.274140527916998,1.0209351127326372
