t,N_A,N_B,N_P
100.0,0.49781197921961545,0.6544440226216519,0.20713750414358306
200.0,0.4331179528363056,0.6825587468554425,0.22342387239101064
300.0,0.5125167268060868,0.7364681228171575,0.2410675056316914
400.0,0.5651261152513246,0.7280037343312882,0.2268276533788173
500.0,0.4864279304601779,0.5513641697602031,0.18542505123545777
600.0,0.4770826115928385,0.4973843714324978,0.19472611367951276
700.0,0.5018816885396693,0.476234094712369,0.24256117670242267
800.0,0.46437006582064716,0.4709258824943715,0.1969924476758913
900.0,0.6626282735302236,0.5828597931660426,0.224518609991386
1000.0,0.6983241133982876,0.6814825856723496,0.33648472860208134
1100.0,0.4596674499970552,0.39976720779304376,0.24584909676842334
1200.0,0.6531663387366603,0.8162258675590897,0.2764036551322597
1300.0,0.5268417552301431,0.5495957137151877,0.23456147472911654
1400.0,0.45148878559669586,0.5563996133193883,0.183730639823003
1500.0,0.5456508580923228,0.555242295015245,0.30124373995877296
1600.0,0.5073545057163391,0.8107411614211278,0.2637618806841079
1700.0,0.4874715769023469,0.6528210478950058,0.2747492051916552
1800.0,0.55587820746753,0.8129070101741135,0.26654821052405164
1900.0,0.5829300233199497,0.5632455473924434,0.28850663656824194
2000.0,0.4736521838050439,0.5245396742939429,0.20253227608793534
2100.0,0.5974805024333881,0.6688171436963293,0.2855900007371269
2200.0,0.5034962700938158,0.6572308943179805,0.21396899621830015
2300.0,0.6584953361068029,0.7111240112435361,0.24739322827438898
2400.0,0.6344041523771785,0.5355236340059027,0.2800277702182311
2500.0,0.5423848380445524,0.6067812227901086,0.2720156231958081
2600.0,0.46990996750303565,0.5364180767929365,0.22301535690867608
2700.0,0.39864947997950634,0.35874379861743727,0.24311216944892386
2800.0,0.4188076948089693,0.5144327734105827,0.23460537772344922
2900.0,0.4992357323965062,0.5802291595249273,0.21215425960541143
3000.0,0.4727065523864658,0.4246434381460039,0.21782410155276105
3100.0,0.5155608467142765,0.577152139322895,0.22537135876766481
3200.0,0.4560234414463357,0.5078019309883648,0.25862566071321363
3300.0,0.5974564299976256,0.4687313975540183,0.2354452394501477
3400.0,0.5293224255129662,0.6748865844227202,0.2454480098336198
3500.0,0.44783251242307687,0.8173648072619407,0.21320321508116194
3600.0,0.5158379179830199,0.5376034476726345,0.21795022259640975
3700.0,0.660803053025892,0.9084323175508142,0.2824686566768496
3800.0,0.4713982808411865,0.6881224666143779,0.19543238227178153
3900.0,0.4128531933912127,0.7626641887125688,0.2657349018705245
4000.0,0.559670388482492,0.6314617246212875,0.22881254776064544
4100.0,0.5445065693024345,0.658663844465209,0.30719315954631843
4200.0,0.6300575791788742,0.5430478418769343,0.2403278478623397
4300.0,0.5709690444794596,0.4903747629301888,0.2810895844252081
4400.0,0.521621335506883,0.5464283302877156,0.2574859663708703
